,nome,localizacao,foto
0,Adriana Antunes,Caxias do Sul/RS,./Mulheres Palestrantes_files/tumblr_n8g0ld4jND1tfojqwo1_1280.jpg
1,Adriana da Rosa Amaral,Porto Alegre/RS,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAqwAAAAJDE0YmE0MmIxLWM5NjMtNDQ5MC05M2FjLWNjMDFjOGU5NzA1Zg.jpg
2,Alda Rocha,São Paulo/SP,./Mulheres Palestrantes_files/07ac697bcff40050a82cb4503de9eb68.png
3,Alessandra Guglieri,Porto Alegre/RS,./Mulheres Palestrantes_files/0ccfeff.jpg
4,Alice Coutinho,São Paulo/SP,./Mulheres Palestrantes_files/placeholder-female.jpg
5,Aline de Campos,Porto Alegre/RS,./Mulheres Palestrantes_files/AlinedeCampos.jpg
6,Aline M. C. Freitas,Belém/PA,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAYFAAAAJDVkMzNjY2U2LTNjMGQtNDE5NC1hNDgxLTBmM2RhY2MyYjBiNQ.jpg
7,Aline Pêgas,Curitiba/PR,./Mulheres Palestrantes_files/profile.jpg
8,Alline Jajah,Goiânia/GO,./Mulheres Palestrantes_files/allinejajah-1418015868_280.jpg
9,Alline Oliveira,"São Paulo/SP, Rio de Janeiro/RJ, Brasília/DF e Goiânia/GO",./Mulheres Palestrantes_files/26e9188.jpg
10,Alynne Cid,Belém/PA,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAcsAAAAJDc5ODNjOTU3LWE5MjItNGZjNi04ZjJkLTYwODJlYjU3OWYyNw.jpg
11,Amanda Santana,Aracaju/SE,./Mulheres Palestrantes_files/b1888a06cb886303500bc65c1d81f200.jpeg
12,Amanda Silva Vieira,Porto Alegre/RS,./Mulheres Palestrantes_files/ff491a846bf9e5f3f5d081787ff54ae2.jpeg
13,Amanda Vilela,Sorocaba/SP,./Mulheres Palestrantes_files/3ab1d4a265ad9289afe10956a78271df.jpeg
14,Amanda Zacarias Marinho,Belo Horizonte/MG,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAigAAAAJDc4Y2E4ZjUyLTVhYzAtNDgxNi05YTk0LWZhY2M5OWQ1Y2MzNA.jpg
15,Amélia Pessoa,Recife/PE,./Mulheres Palestrantes_files/9038852
16,Ana Antar,Salvador/BA,./Mulheres Palestrantes_files/ts6SYp9G_400x400.jpg
17,Ana Barcellos,Brasília/DF,./Mulheres Palestrantes_files/8314551
18,Ana Carolina Alves Rodrigues,Florianópolis/SC,./Mulheres Palestrantes_files/0b16903eeb7899542ce526c21eee7c74.jpeg
19,Ana Clarissa,Manaus/AM,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAMDAAAAJDRiZDJjMDczLWE5MWMtNGU0Yi04ZTc4LTk5NjU2M2VmNTlmNQ.jpg
20,Ana Del Mar,São Paulo/SP,./Mulheres Palestrantes_files/0_pIHHOU-J17PpZDyH.jpg
21,Ana Fontes,São Paulo/SP,./Mulheres Palestrantes_files/AAIAAgDGAAAAAQAAAAAAAAmTAAAAJDY4MGJhMGI5LTBhNmEtNDU4Yi04ZWVlLWE1ZjFhNzdlODNmZg.jpg
22,Ana Julia Ghirello,Rio de Janeiro/RJ,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAhkAAAAJDc3MjI1MDk3LWFiMDctNDNlYi1iYmJhLTEwYjA3NTBkNGVmOA.jpg
23,Ana Luíza Avellar,Recife/PE,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAgUAAAAJGI2MjVlZjQwLTQzMzAtNDE3Zi1hZGQ1LWRmZGI5NmEzNzE1NA.jpg
24,Ana Luiza Bastos,São Paulo/SP,./Mulheres Palestrantes_files/10088900
25,Ana Paula Coelho Barbosa,Ilhabela/SP,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAi8AAAAJGM4ZDM3NDk0LTcxNmEtNDBjYy1hODFlLWQ0Yzg0ZmViMjUxMA.jpg
26,Ana Paula da Silva Mendes,Teresina/PI,./Mulheres Palestrantes_files/27858278_2471054366452191_7904831545054840493_n.jpg
27,Ana Paula de Luca,São Paulo/SP,./Mulheres Palestrantes_files/placeholder-female.jpg
28,Ana Paula Gaspar,São Paulo/SP,./Mulheres Palestrantes_files/placeholder-female.jpg
29,Ana Paula Gomes,Belo Horizonte/MG,./Mulheres Palestrantes_files/38e1ead1b5834e26fb681116e6b7ebf5.jpeg
30,Ana Paula Marques,Sobral/CE,./Mulheres Palestrantes_files/placeholder-female.jpg
31,Ana Paula Vargas Maia,Salvador/BA,./Mulheres Palestrantes_files/AAIAAgDGAAAAAQAAAAAAAAxkAAAAJGJmYTRmMzUzLWYzYjYtNDQ2ZS04MWM3LTAxMjIxZTVhMGJlOA.jpg
32,Ana Raquel Calháu Pereira,Itajubá/MG,./Mulheres Palestrantes_files/5718645
33,Ana Ribeiro,Campina Grande/PB,./Mulheres Palestrantes_files/fbcae7dfc50e5e33d18cae175d957c64.jpeg
34,Ana Rute Mendes,São Paulo e Campinas/SP,./Mulheres Palestrantes_files/a4d2fe468c774392ea7deb9efb9e61f5.jpeg
35,Ana Schwendler,Porto Alegre/RS,./Mulheres Palestrantes_files/I8PSmdIN.jpg
36,Ananda Carvalho,Manaus/AM,./Mulheres Palestrantes_files/3c368abae57d0fb60ff976fb1be47d99
37,Andrea Barberà,São Paulo/SP,./Mulheres Palestrantes_files/AAIA_wDGAAAAAQAAAAAAAAquAAAAJDMzZTZlOTE4LWZmNTctNDUwMy05NzExLTI3ODQ2MDM1M2ExNg.jpg
38,Andrea Siqueira,São Paulo/SP,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAgXAAAAJGU1YmVlMjZmLWI4N2UtNGVlNi1iYzlhLWUyMjQ0YTA0YzI3ZQ.jpg
39,Andrea Schostack,São Paulo/SP,./Mulheres Palestrantes_files/qvDU2DKf.jpg
40,Andréa Zambrana,São Paulo/SP,./Mulheres Palestrantes_files/400922
41,Andressa Chiara,Rio de Janeiro/RJ,./Mulheres Palestrantes_files/ca79853a5595723513d7da6caf13c94e.jpeg
42,Andressa Sivolella,Rio de Janeiro/RJ e,./Mulheres Palestrantes_files/272868
43,Andreza Leite, São Paulo/SP,./Mulheres Palestrantes_files/19ffbedf91fda0d0bc3f72d719902d66.jpeg
44,Anielle Guedes,Recife/PE,./Mulheres Palestrantes_files/placeholder-female.jpg
45,Anna Cruz,São Paulo/SP,./Mulheres Palestrantes_files/0afb5c6c63c9e0ce7666528524ed6727.jpeg
46,Annelise Gripp,Rio de Janeiro/RJ e São Paulo/SP,./Mulheres Palestrantes_files/6d3f646a5629bc5e23a73cec15cb4975.jpeg
47,Anyssa Ferreira,Rio de Janeiro/RJ,./Mulheres Palestrantes_files/anyssaferreira-296x300.jpg
48,Ariadne Pinheiro,São Paulo/SP,./Mulheres Palestrantes_files/1ccd5f673dc4ab769c25180b5b4da5e1.jpeg
49,Ariane Parra,Rio de Janeiro/RJ,./Mulheres Palestrantes_files/416a736d3a63450abc19b91bbb7ce64b
50,Ariane Feijó,São Paulo/SP,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAm0AAAAJDVlYjAxMDI5LWNjMTgtNGQxMy1hNjZkLWEyMTY0YWIyNDVkZA.jpg
51,Ariane Izac,Porto Alegre/RS,./Mulheres Palestrantes_files/14958fc6544edc07d96d33d6b6ba6a0b.jpeg
52,Ariela Ranielly de Paula Silveira,Campinas/SP,./Mulheres Palestrantes_files/33342fd.jpg
53,Augusta Guta Orofino,São Paulo/SP,./Mulheres Palestrantes_files/placeholder-female.jpg
54,Bárbara Barbosa,São Paulo/SP,./Mulheres Palestrantes_files/763533
55,Bárbara Cabral,São Paulo/SP,./Mulheres Palestrantes_files/b0bf5ac8e0adfef3bd50004203ef9df7.jpeg
56,Bárbara Dariano Silva Suzuki,Florianópolis/SC,./Mulheres Palestrantes_files/e0914b23096ad6b2c4f16ae206f20b90.jpeg
57,Barbara Jacinto,São Paulo/SP,./Mulheres Palestrantes_files/photo.jpg
58,Bianca Brancaleone,São Paulo/SP,./Mulheres Palestrantes_files/HZdoLbi9.jpg
59,Bianca Rosa,Sorocaba/SP,./Mulheres Palestrantes_files/63ddf8a769ed56c72f36a35c85b5d337.jpeg
60,Bianca Marques,Rio de Janeiro/RJ,./Mulheres Palestrantes_files/17528956
61,Cah Felix,Salvador/BA,./Mulheres Palestrantes_files/5debfa9b1fb78885f4e8df4915cb425f.jpeg
62,Camila Achutti,São Paulo/SP,./Mulheres Palestrantes_files/2078347
63,Camila Campos,São Paulo/SP,./Mulheres Palestrantes_files/2309096
64,Camila Ferreira,São Paulo/SP,./Mulheres Palestrantes_files/691624a81373dd9da912e1bda573fe10.jpeg
65,Camila Godoy,Florianópolis/SC,./Mulheres Palestrantes_files/placeholder-female.jpg
66,Camila Haddad,São Paulo/SP,./Mulheres Palestrantes_files/placeholder-female.jpg
67,Camila Petry Feiler,São Paulo/SP,./Mulheres Palestrantes_files/placeholder-female.jpg
68,Carine Roos,Curitiba/PR,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAgtAAAAJGUyZWNhODE0LTIzMTQtNDhmOC05ZWQ5LWE0ZjZhOWViNzEwMg.jpg
69,Carla de Bona,São Paulo/SP,./Mulheres Palestrantes_files/AAEAAQAAAAAAAA26AAAAJGRmMjg4ZDA5LWEzYmYtNGZkOS1iZDM0LWI1ODVmNDMwYTgwZA.jpg
70,Carla Moranga,São Paulo/SP,./Mulheres Palestrantes_files/AAEAAQAAAAAAAArhAAAAJDI2MmY3NDU0LTQxZTItNDAyZC05MzQwLTFjMWE5NmRiMzU1Ng.jpg
71,Camila Waz,São Paulo/SP,./Mulheres Palestrantes_files/AAEAAQAAAAAAAArfAAAAJGQyNzA4NDQ1LTI2YjEtNGQ0NS1hOGU3LWY5MzU3Zjk0OWViOA.jpg
72,Camilla Falconi Crispim,João Pessoa/PB,./Mulheres Palestrantes_files/5ed936f516df3562fe20b3a1338e7fb5.jpeg
73,Carol Aguiar,Recife/PE,./Mulheres Palestrantes_files/placeholder-female.jpg
74,Carol Patrocínio,Curitiba/PR,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAedAAAAJDhjYzVjYTIxLTU1ZTMtNDQzNy05YmVhLTUwYTcwZDdmNjNhMw.jpg
75,Carolina Ruhman Sandler,São Paulo/SP,./Mulheres Palestrantes_files/mini-carolina.png
76,Caroline Burle,São Paulo/SP,./Mulheres Palestrantes_files/6430260
77,Celine Ramos,São Paulo/SP,./Mulheres Palestrantes_files/i114D6dv_400x400.jpg
78,Chaiane Simmler,Salvador/BA,./Mulheres Palestrantes_files/2c5fdc63b557f2588138056240fba94e
79,Cíntia Mara,Itajaí/SC,./Mulheres Palestrantes_files/f4d05fff206f059c2c5925df8dbf1bdb.jpeg
80,Clara Verena Battesini,Belo Horizonte/MG,./Mulheres Palestrantes_files/8d7d0c819f2b46610e81cecf0a122c8f
81,Clarissa Barreto,Salvador/BA,./Mulheres Palestrantes_files/24b4c5a.jpg
82,Clarissa Sóter,Porto Alegre/RS,./Mulheres Palestrantes_files/9be3ac92a937615d8547ceec4072f177
83,Claudia Carolina Boletti,Recife/PE,./Mulheres Palestrantes_files/96289319fa2117a461d6cfbfbf3910cf.jpeg
84,Claudia Peruzzato,São Bernardo/SP,./Mulheres Palestrantes_files/AAEAAQAAAAAAAASIAAAAJDM2NDA0NjU0LTljMWEtNGQ1OS1hMGMyLWRkYjYyYzJhMTNkMg.jpg
85,Conceição Morais,Porto Alegre/RS,./Mulheres Palestrantes_files/7e8715a92e543bffbd9c1d41872ab06b
86,Cynthia Torchi,Recife/PE,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAWbAAAAJDkxM2EyMmU2LTNmYzctNDQ4MC05MWI5LWIzZmE3ZDBhZTk0Yg.jpg
87,Cynthia Tscha,Taubaté/SP,./Mulheres Palestrantes_files/placeholder-female.jpg
88,Cynthia Zanoni,Recife/PE,./Mulheres Palestrantes_files/acf2c97fd68b165d50bdf8f446afc0e7.jpeg
89,Cristal Bittencourt,Porto Alegre/RS,./Mulheres Palestrantes_files/0d6bb01b9265417c64fd97c6fb19bc7c.jpeg
90,Daiany Maia de Andrade,Salvador/BA,./Mulheres Palestrantes_files/AAIAAgDGAAAAAQAAAAAAAAwtAAAAJDY1OWQ1ZGIwLTEwNGMtNDllMS04ODhlLTA4YjQzMGQyYjY3NQ.jpg
91,Dalianny Vieira,Ribeirão Preto/SP,./Mulheres Palestrantes_files/13053265
92,Daniela Araújo,Salvador/BA,./Mulheres Palestrantes_files/d0527f5a78b2e1575ccd9da7522a41c1.jpeg
93,Daniela Bertocchi,Porto Alegre/RS,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAxYAAAAJGYwNjlmMDcyLTdkMGYtNDM1OC1hYWEyLTA1YzdmMmUzZjIxOQ.jpg
94,Daniela Castilho Schwab,São Paulo/SP,./Mulheres Palestrantes_files/cf45e10a82c4f4638863f6d856df9ca2.jpeg
95,Daniela Feitosa,Campinas/SP,./Mulheres Palestrantes_files/0bd72ea.jpg
96,Daniela Palumbo,Salvador/BA,./Mulheres Palestrantes_files/23b588ae707121505f5bcdedb8095227.png
97,Daniela Petruzalek,Campinas/SP,./Mulheres Palestrantes_files/4bb860bd1c186becbfb64a5a40d8ee19.jpeg
98,Daniela Senador,Porto Alegre/RS,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAZAAAAAJGJjOWQ1OGJjLWM1MjYtNDg2My05MjlmLWQ0ZmJlODliNzg2ZA.jpg
99,Daniela Victorazzi,São Paulo/SP,./Mulheres Palestrantes_files/AAEAAQAAAAAAAA2WAAAAJGViNDJjZjgyLWIwN2MtNGE1OC1iYzQxLTI5OTcwM2U3ZGEzNA.jpg
100,Daniele Andrade,São Paulo/SP,./Mulheres Palestrantes_files/16c4248354041b76f72da23d755d6b7b
101,Daniele Zandoná,Fortaleza/CE,./Mulheres Palestrantes_files/placeholder-female.jpg
102,Danielle Teixeira,Campinas/SP,./Mulheres Palestrantes_files/5931990
103,Danielle Vieira,Lauro de Freitas/BA,./Mulheres Palestrantes_files/AAMAAgDGAAwAAQAAAAAAAAsAAAAAJDM2ZjVjZGU0LTRkNjUtNDk2YS1hZWY3LTdiZjQ4ZGYyM2M3Yg.jpg
104,Dayany Espíndola,Sorocaba/SP,./Mulheres Palestrantes_files/02582cea45d1ed66154b355aa1dc696d.jpeg
105,Deb Xavier,Rio de Janeiro/RJ e São Paulo/SP,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAvoAAAAJGY2ZjM4NGQ1LWRjNTQtNDZiYy1hNWYyLTdhYTBjMDZmMzMwMg.jpg
106,Déia Zoboli,Porto Alegre/RS,./Mulheres Palestrantes_files/placeholder-female.jpg
107,Deise Lima,Joinville/SC,./Mulheres Palestrantes_files/placeholder-female.jpg
108,Denise Pagnussat,Rio de Janeiro/RJ,./Mulheres Palestrantes_files/3b13bc0.jpg
109,Denise Teófilo,Porto Alegre/RS,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAhBAAAAJDJjNzE0YjE0LThjMjktNDZmNC1hMmViLTA2NWNmNzdhNGUwMg.jpg
110,Diana Arnos,Sorocaba/SP,./Mulheres Palestrantes_files/4ce43cd2535d0afe50065a743af646e9.jpeg
111,Diane Lima,Osasco/SP,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAI8AAAAJDc2NTczNDQ4LWY3ZDctNGJhZC04NTkwLWQ4NTAyNWU3MDBiMw.jpg
112,Elisa Carlos Pereira ,São Paulo/SP,./Mulheres Palestrantes_files/placeholder-female.jpg
113,Elis Forgerini,Jundiaí/SP,./Mulheres Palestrantes_files/AAEAAQAAAAAAAA03AAAAJDViNGYwODRlLWM3MWEtNDRiNi05Y2MxLTdmNDZmYjQ4Mzg3MQ.jpg
114,Elizabeth Regina Tscha,São Paulo/SP,./Mulheres Palestrantes_files/placeholder-female.jpg
115,Eluana Sievert Cardoso,Recife/PE,./Mulheres Palestrantes_files/AAIA_wDGAAAAAQAAAAAAAAvQAAAAJDQ3M2Q1NDI5LTM2N2UtNDJiMi04NzQ4LWUwZTU3OTM0NWQ1MA.jpg
116,Emanuelle Menali,Curitiba/PR,./Mulheres Palestrantes_files/0c019979ee02a71763ea2e44dd91e0bb.jpeg
117,Emmanuelle Richard,Santa Luzia/MG,./Mulheres Palestrantes_files/cd920d13e1da5783e99a4372bc0f9fd2
118,Erica Ariano,Natal/RN,./Mulheres Palestrantes_files/AAMAAgDGAAwAAQAAAAAAAA8gAAAAJDIwNGYxNzVkLTMyOTctNGY5ZS1hNjgyLTM4YzI3MDVhYjllZA.jpg
119,Érica Calil Nogueira,Santo André/SP,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAVEAAAAJDNhZWIxNTYyLTgzMjYtNDc2ZS04MmE0LTA3NjVhYTE4MDc3NA.jpg
120,Erica Marques,Rio de Janeiro/RJ,./Mulheres Palestrantes_files/0b61b5ff9300a85587390e168845cbd4.jpeg
121,Érica Viana,Curitiba/PR,./Mulheres Palestrantes_files/82a915535fb89f078db00ec645e05cc9
122,Erika Laíse,Belo Horizonte/MG,./Mulheres Palestrantes_files/0aaf2fe.jpg
123,Estela Rocha,Belo Horizonte/MG,./Mulheres Palestrantes_files/AAEAAQAAAAAAAApsAAAAJDEyY2RjNjMxLTFjMmMtNDMwYS1iMTU2LWEzNzQ3MzFmMGRlYw.jpg
124,Etienne Du Jardin,Porto Alegre/RS,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAt8AAAAJGQ5MWY2OTkxLTczMDUtNDUyMi04OGM3LTBlZGY1ZTFmOGU3Yw.jpg
125,Fabiana Rocha Batista,São Paulo/SP,./Mulheres Palestrantes_files/placeholder-female.jpg
126,Fabiany Lima,São Paulo/SP,./Mulheres Palestrantes_files/placeholder-female.jpg
127,Fernanda Bernardo,São Paulo/SP,./Mulheres Palestrantes_files/393a8afb36c128e762e5130549d22dbe.jpeg
128,Fernanda Campagnucci,São Paulo/SP,./Mulheres Palestrantes_files/0f196a83d85a2c66c3eb8678b3d96e7a.jpeg
129,Fernanda Lobato,São Paulo/SP,./Mulheres Palestrantes_files/29c9108ca9fd4485e8b00858892bd0a5.jpeg
130,Fernanda Mano,Porto Alegre/RS,./Mulheres Palestrantes_files/placeholder-female.jpg
131,Fernanda Nascimento,Rio de Janeiro/RJ,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAuTAAAAJDAxMWM0MjExLWZkNmEtNDZkOC05YzAwLWM0ZmY5ODhhMmQ1NQ.jpg
132,Fernanda Nogueira,São Paulo/SP,./Mulheres Palestrantes_files/placeholder-female.jpg
133,Fernanda Trindade Monteiro,São Paulo/SP,./Mulheres Palestrantes_files/placeholder-female.jpg
134,Flávia Dias Fortes,São Paulo/SP,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAnfAAAAJGZlNjI4MTM2LWM1YjQtNGExNy04NGFjLTBlNzM5ZWU1ZDc1Mg.jpg
135,Francieli Viane,São Paulo/SP,./Mulheres Palestrantes_files/1158ea2d0be5632609d067d2ebebacb9.jpeg
136,Francine Micheli,Belo Horizonte/MG,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAoYAAAAJDdiMTQxNzA0LWFmOTgtNDEwOC05OTVhLThkMzNhMmNkZTVhMQ.jpg
137,Gabriela Galves Nunes,Ribeirão Preto/SP,./Mulheres Palestrantes_files/aa602dcc4ba2afe200d65b808f3d713f
138,Geisa Santos,Curitiba/PR,./Mulheres Palestrantes_files/5049246
139,Germanda Uchoa,Salvador/BA,./Mulheres Palestrantes_files/placeholder-female.jpg
140,Giana de Almeida Pereira,Recife/PE,./Mulheres Palestrantes_files/14f078115953cf2ea31d9891ac083eeb.jpeg
141,Gica Trierweiler Yabu,Florianópolis/SC,./Mulheres Palestrantes_files/568119.53d90b133af39.jpg
142,Gina Gotthilf,São Paulo/SP,./Mulheres Palestrantes_files/placeholder-female.jpg
143,Giovana Penatti,São Paulo/SP,./Mulheres Palestrantes_files/AAMAAgDGAAwAAQAAAAAAAA0uAAAAJGNiMTU2YWVmLWVhZDEtNGJiMC04MDM2LTdkOWI4OGU5ZWEwNA.jpg
144,Gisele Késsia Gusmão Bizerril Gelschleiter,São Paulo/SP,./Mulheres Palestrantes_files/placeholder-female.jpg
145,Gisleine Silveira,Aracaju/SE,./Mulheres Palestrantes_files/41052_1241696062527_7336928_n.jpg
146,Grazielle Mendes Rangel,Montreal/Canadá,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAXIAAAAJDVkZDE0YTVkLTkxNmYtNDRjZC04OTljLTNhOWQ5OThjYjNmMA.jpg
147,Halina Medina,Belo Horizonte/MG,./Mulheres Palestrantes_files/AAMAAQDGAAwAAQAAAAAAAAvyAAAAJGU2Zjg1NzU1LTY4MjMtNDI4NS04MTlhLTJhOTJmNzc0MmJmZg.jpg
148,Hanna Pereira,São Paulo/SP,./Mulheres Palestrantes_files/92f91622d6f40aee53dae82376a1b725
149,Haydée Svab,São Vicente/SP,./Mulheres Palestrantes_files/96b81d9c691891f599a9c35dcbb412f0.png
150,Helena Margarido,São Paulo/SP,./Mulheres Palestrantes_files/placeholder-female.jpg
151,Hendy Almeida,São Paulo/SP,./Mulheres Palestrantes_files/placeholder-female.jpg
152,Hevlin Costa,São Paulo/SP,./Mulheres Palestrantes_files/a3a83c902112cedccc0e071147027a72.jpeg
153,Iaci Gomes,Jundiaí/SP,./Mulheres Palestrantes_files/AAMAAQDGAAwAAQAAAAAAAA6mAAAAJDY5ZmJlZWVhLTRmMWUtNGFjNS1iMTljLWMxYTE4OGYzM2ZmNQ.jpg
154,Isabella Silveira,Belém/PA,./Mulheres Palestrantes_files/4542747
155,Ingrid Mantonavi,Rio de Janeiro/RJ,./Mulheres Palestrantes_files/018be55.jpg
156,Ivanise Gomes,São Paulo/SP,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAg_AAAAJGYyMmM0NzM1LTEyZGYtNDFkMC04MmMwLTI5NTE5ZmM5OWQxMw.jpg
157,Izadora Ribeiro Perkoski,Campinas/SP,./Mulheres Palestrantes_files/b58009e9c7a0dee56bfb552e58f69ca8.jpeg
158,Izza Simões,São Paulo/SP,./Mulheres Palestrantes_files/AAMAAgDGAAwAAQAAAAAAAA5AAAAAJDRkZWIyZTA3LTg3ZTctNGNiZi04ODhlLTY2NGZiYTdjYjNhMQ.jpg
159,Jacqueline Yumi Asano,João Pessoa/PB,./Mulheres Palestrantes_files/24320336
160,Janine Saponara,Florianópolis/SC,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAvoAAAAJDgxMDczMjgwLWUwOTYtNDI1MS1hYzRlLThlYjU1ZTM5NTMzMg.jpg
161,Janynne Gomes,São Paulo/SP,./Mulheres Palestrantes_files/AAMABADGAAwAAQAAAAAAAAoJAAAAJDEzNTE5YjY4LTBhMzEtNDcyNC04YWIwLTgxNTU2NDdkYWQ0Yg.jpg
162,Jeliel Mendes,Governador Valadares/MG,./Mulheres Palestrantes_files/4261484
163,Jennifer Payne,Porto Alegre/RS,./Mulheres Palestrantes_files/placeholder-female.jpg
164,Jessica Temporal,Blumenau/SC,./Mulheres Palestrantes_files/35beca46843e4adcbd43df1bc93ce38b.jpeg
165,Jessilanny Nóbrega,Osasco/SP,./Mulheres Palestrantes_files/placeholder-female.jpg
166,Josilene Santana,Campina Grande/PB,./Mulheres Palestrantes_files/placeholder-female.jpg
167,Joviane Jardim,Recife/PE,./Mulheres Palestrantes_files/2b1269b.jpg
168,Juciellen Cabrera,São Paulo/SP,./Mulheres Palestrantes_files/0b8df4309d2e40efce1208242c35a058
169,Juily Manghirmalani,Guarulhos/SP,./Mulheres Palestrantes_files/AAIAAgDGAAAAAQAAAAAAAA1PAAAAJGI3YTM0ZGI2LTI4ODItNGY1OS04Y2VkLWZkYWJiOTBiZmVmOA.jpg
170,Júlia Albuquerque,São Paulo/SP,./Mulheres Palestrantes_files/fb39d8165fcc2edf3375d0eba8b0d6ff.jpeg
