,nome,localizacao,foto
171,Julia Stateri,Maceió/AL,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAjwAAAAJDkzYmFkMTU3LTYwNjUtNDFlOC04NWVhLTRiMDZjZTU0ZTlkZg.jpg
172,Juliana de Bittencourt Escobar,Campinas/SP,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAjqAAAAJGNkYjM1YTgzLTYxMzItNDkyMC1iNGUxLWJjMjBiYzg0YmNlMA.jpg
173,Juliana Carvalho,Porto Alegre/RS,./Mulheres Palestrantes_files/AAMABADGAAwAAQAAAAAAAA6zAAAAJGRjMGVhYmE3LTQ5ZTgtNGU3Yy04NTJkLTQ5NTU2NjJlNDllOA.jpg
174,Juliana Chahoud,João Pessoa/PB,./Mulheres Palestrantes_files/placeholder-female.jpg
175,Juliana Félix Nunes,São Paulo/SP,./Mulheres Palestrantes_files/3291727
176,Juliana Fernandes,Goiânia/GO,./Mulheres Palestrantes_files/037d35f865f95571c3194b4c84a4915b.jpeg
177,Juliana Fernandes,Porto Alegre/RS,./Mulheres Palestrantes_files/placeholder-female.jpg
178,Juliana Guerra,São Paulo/SP,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAviAAAAJGFhMzc0MDFiLWZjNTAtNDE1YS1hZGE2LWYxMjU3MTRkZWJmMg.jpg
179,Juliana Hercowitz,São Paulo/SP,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAd8AAAAJDc0MTdjYWJjLWQxYTMtNGQ1NS1hNDQxLWIwZjAxNmZmZjhmMA.jpg
180,Juliana Wallauer,São Paulo/SP,./Mulheres Palestrantes_files/AAIA_wDGAAAAAQAAAAAAAAxxAAAAJDc0NTMyMGNmLWI3MGUtNGRlOC05ZGEwLWI1MGYzMjkzODkwOQ.jpg
181,Juliene Alves,São Paulo/SP,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAl0AAAAJDM1OWFmZTI2LTM0OTQtNDMwMy1hN2Q2LTUyODgzNjg5YTNhZg.jpg
182,Julyane Miranda,Recife/PE,./Mulheres Palestrantes_files/APVpL4L6_400x400.jpg
183,Karen Figueiredo,Rio de Janeiro/RJ,./Mulheres Palestrantes_files/ad74bd0e6c00310471c4761e1ec73f5d
184,Karina Girardi Roggia,Cuiabá/MT,./Mulheres Palestrantes_files/5774b104265c725d9ea7e65b5411a2c2.jpeg
185,Karina Martins,Joinville/SC,./Mulheres Palestrantes_files/placeholder-female.jpg
186,Karla Patriota Bronsztein,São Paulo/SP,./Mulheres Palestrantes_files/placeholder-female.jpg
187,Kathlen Amado,Recife/PE,./Mulheres Palestrantes_files/3bae151.jpg
188,Kelly Kiyumi,Brasília/DF,./Mulheres Palestrantes_files/82810bb4e5c8a9caecda9f48ed285ffc.jpeg
189,Krystal Campioni,São Paulo/SP,./Mulheres Palestrantes_files/891f39aa823d65aed365e0b801a58af8.jpeg
190,Laís Carvalho,São Paulo/SP,./Mulheres Palestrantes_files/2b1fd1c.jpg
191,Lais de Lima,São Paulo/SP,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAROAAAAJDdiM2Q2ZGMyLWY5NGUtNDUxOC1iZmRmLWE0MGEyNDdhOTE4Mg.jpg
192,Larissa Sá ,Belém/PA,./Mulheres Palestrantes_files/55ea4b542e9aef1c4cfc45e30100b9a9
193,Laura Gurgel,Brasilia/DF,./Mulheres Palestrantes_files/placeholder-female.jpg
194,Laura Nobrega,São Paulo/SP,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAeOAAAAJDY0Yzc1ZDk4LTExYTItNGJkZS1hNWViLTAxZWQyYTllNjQwMw.jpg
195,Letícia Passarelli Canova,São Paulo/SP,./Mulheres Palestrantes_files/placeholder-female.jpg
196,Leticia Figueira,São Paulo/SP,./Mulheres Palestrantes_files/a47dc8cc9354985bd4f688c78e910261.png
197,Letícia Millião,Porto Alegre/RS,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAmJAAAAJDJkMDQ1YzQ0LThhZGEtNGZiNS1hMjdkLTIwNmJjMDFhZTc2MA.jpg
198,Letícia Motta,São Paulo/SP,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAlHAAAAJDAyMDMwNjkwLWMxNTYtNDIyYy1iYzYxLWRjOGM0MmQzMjI3NA.jpg
199,Leticia Portella,Rio de Janeiro/RJ,./Mulheres Palestrantes_files/96f6148ae5af63f90246a3817686b457.jpeg
200,Leticia Pozza,Ribeirão Preto/SP,./Mulheres Palestrantes_files/0ce2411.jpg
201,Letticia Nicoli,Porto Alegre/RS,./Mulheres Palestrantes_files/13442773
202,Lhaís Rodrigues,São Paulo/SP,./Mulheres Palestrantes_files/171d49d996b7c9c2d93af7066948dc47.jpeg
203,Lidiane De Souza Monteiro,Recife/PE,./Mulheres Palestrantes_files/b71e8a1577930c3d84478e5c325d5d53.jpeg
204,Lígia Bernar,Recife/PE,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAwCAAAAJDljZGVjYTY5LWY3NWYtNDM5Yi1hYmExLTAyNDUwNmJlY2JjZg.jpg
205,Lígia Zeppelini,Belém/PA,./Mulheres Palestrantes_files/7f92138973430327cc2a6c2758c31b15.png
206,Liliam Leal,São Paulo/SP,./Mulheres Palestrantes_files/da72818e353c00159b1e259359de6fe0
207,Lilian Gonçalves,São Paulo/SP,./Mulheres Palestrantes_files/16c4a29.jpg
208,Lina Garrido,São Paulo/SP,./Mulheres Palestrantes_files/08a9d15.jpg
209,Lisi Moraes,São Paulo/SP,./Mulheres Palestrantes_files/23afdd1.jpg
210,Loiane Groner,Florianópolis/SC,./Mulheres Palestrantes_files/59545
211,Luana Weitzel,São Paulo/SP,./Mulheres Palestrantes_files/placeholder-female.jpg
212,Luciana Guerra,Rio de Janeiro/RJ,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAs9AAAAJDEzMjhhMmY3LTBhZTMtNDYyMS1hNTI1LWNkNjZiMmViOWVhZA.jpg
213,Luciana Minev,São Paulo/SP,./Mulheres Palestrantes_files/placeholder-female.jpg
214,Luciana Stabile,Manaus/AM,./Mulheres Palestrantes_files/placeholder-female.jpg
215,Luiza Guerra,Ribeirão Preto/SP,./Mulheres Palestrantes_files/65c5b3ac0eeae6d90fea315e72068f16.jpeg
216,Macarena Garcia,Belo Horizonte/MG,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAliAAAAJDZmZWIxM2RhLTJiM2MtNDIyZS04OTViLTc0NzI4YjA2OGY1Nw.jpg
217,Maitê Balhester,São Paulo/SP,./Mulheres Palestrantes_files/7ee96fafef481d455a222c6102cf3528.jpeg
218,Marcela Costa,Santo André/SP,./Mulheres Palestrantes_files/placeholder-female.jpg
219,Marcela Milano,Recife/PE,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAxHAAAAJGIwYjc2Mzc5LWM3MDAtNGM1NC04MTQyLTk4MDc2ZGNiMDE2ZQ.jpg
220,Marcela Oliveira,Curitiba/PR,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAMzAAAAJGYwZjJjYmM1LTEzODktNDFmZS05YzFkLWE3ODUwN2FlNDcwYQ.jpg
221,Marcela Santos,São Paulo/SP,./Mulheres Palestrantes_files/ac3d63657b5e83530e24cde0172776c0.jpeg
222,Márcia Santos Almeida,Porto Alegre/RS,./Mulheres Palestrantes_files/67f4a42acf26552b0212c6fb6e4b186f.jpeg
223,Maria Clara Santana,Goiânia/GO,./Mulheres Palestrantes_files/78b75aad21ed5ed351d9822d77acd7fc.jpeg
224,Marina Miranda,Maceió/AL,./Mulheres Palestrantes_files/placeholder-female.jpg
225,Mariana Araujo Mioto,São Paulo/SP,./Mulheres Palestrantes_files/acf4d17d0e0a7f8f0ba61f4d7895c489.jpeg
226,Mariana Camargo,Porto Alegre/RS,./Mulheres Palestrantes_files/placeholder-female.jpg
227,Mariana Gomes ,São Paulo/SP,./Mulheres Palestrantes_files/2fec6491815582734b1ddc97449a44a4
228,Mariana Janeiro,São Paulo/SP,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAkQAAAAJGZlMjFlZDM5LWJmY2ItNDYwMi04MzRmLTlkZWMwOTlmNjNkNw.jpg
229,Mariana Maneira,Jundiaí/SP,./Mulheres Palestrantes_files/852d4d7999da6483617ca28da2383b4d.jpeg
230,Mariana Matos,São Paulo/SP,./Mulheres Palestrantes_files/1b21abc.jpg
231,Marianne Costa,Rio de Janeiro/RJ,./Mulheres Palestrantes_files/c2eae133a7e4c21231cb8e886497198c
232,Mariela Castro,São Paulo/SP,./Mulheres Palestrantes_files/4c2f1d898d747dab7585d050ac8273ca
233,Marina Arilha Silva,Curitiba/PR,./Mulheres Palestrantes_files/022ff18e9fba3f2db09f7e35f1c5c339
234,Maristela Moura,Jundiaí/SP,./Mulheres Palestrantes_files/1f18906.jpg
235,Marta Preuss,Indaiatuba/SP,./Mulheres Palestrantes_files/901ef2fc184b347a5f5717c2ddc3f5e6.jpeg
236,Marla Dore,Florianópolis/SC,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAMtAAAAJDMyZDY1Y2UyLTAxZWUtNDk2Ny1iODI1LWJjMmY4ODQ0NzFhZQ.jpg
237,Martina Scherrer,Salvador/BA,./Mulheres Palestrantes_files/e3a29c667bd11908fe3006b90bc61619.jpeg
238,Mayara Carolina de Paula,Porto Alegre/RS,./Mulheres Palestrantes_files/4465d8b13bc5825ffbe1ebea01cc7cc8
239,Mayara Miranda,Fortaleza/CE,./Mulheres Palestrantes_files/10636124_932122716807075_2937596775672211091_n.jpg
240,Mayra Fonseca,São Paulo/SP,./Mulheres Palestrantes_files/AAEAAQAAAAAAAA3HAAAAJDI0NGJiMTRkLTJjMmUtNDJkNy04YTdkLWRkNGUwNzZmMTc2ZA.jpg
241,Mayra R Souza,São Paulo/SP,./Mulheres Palestrantes_files/13318439
242,Maysa de Oliveira,Porto Alegre/RS,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAwGAAAAJGQxMGE3ZWNkLTgxNzUtNDA3My04ZDBkLWVjN2E2ZDE4OGUyNg.jpg
243,Meli Malatesta,São Paulo/SP,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAlvAAAAJDUyODNlMzE2LWRiNmMtNDUxYy1hNDA3LTZhMWNmMWUxN2U0MA.jpg
244,Melissa Devens,São Paulo/SP,./Mulheres Palestrantes_files/ad3b9541600ce3b1e57fdebfa6191c20.jpeg
245,Michele Costa,Campinas /SP,./Mulheres Palestrantes_files/placeholder-female.jpg
246,Michelle Guimarães,Rolim de Moura/RO,./Mulheres Palestrantes_files/placeholder-female.jpg
247,Mila Paes Leme Marques,Manaus/AM,./Mulheres Palestrantes_files/placeholder-female.jpg
248,Mimi Newton,São Paulo/SP,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAxVAAAAJDQyOTdjYzZiLTBlNmQtNDgwYS1iMmNmLTk3ZTc2YjM4MGY5MA.jpg
249,Mirian Meliani Nunes,São Paulo/SP,./Mulheres Palestrantes_files/placeholder-female.jpg
250,Mônica Bulgari,São Paulo/SP,./Mulheres Palestrantes_files/d0cee09c38060345dcdc63d055f0bc54.jpeg
251,Mychelle Jacob,Campinas/SP,./Mulheres Palestrantes_files/d4be3cb0a04673af6d875058c2c2effe
252,Myrian Connor,Olinda/PE ,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAjGAAAAJDg2ZGU5MWIzLThkYWItNDkxMS1iYTk0LTdmZTA1OGFhMDIxMg.jpg
253,Nadezhda Bezerra Batista,Castanhal/PA,./Mulheres Palestrantes_files/placeholder-female.jpg
254,Nádia Rebouças,Recife/PE,./Mulheres Palestrantes_files/AAIAAgDGAAAAAQAAAAAAAAmeAAAAJDBmZTY5NGExLTQxOTMtNDc2Yi1hOTkxLTY4OWI1MjUzYTkxZg.jpg
255,Natália Menhem,Rio de Janeiro/RJ,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAuTAAAAJDU1YmY3YTU1LTdmMmEtNDhmOS05OTFhLTk3M2E0NjczYjVmYQ.jpg
256,Natascha Hun,Belo Horizonte/MG,./Mulheres Palestrantes_files/60a21ab75db2e268aa55b2973e2f69c8
257,Natasha Romariz,Sorocaba/SP,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAh8AAAAJGYxZDdmZTZhLTFhZGQtNDZhNy04MDY2LTgwZTRmNjcyZjQ1ZA.jpg
258,Nathalia Novaes Leonessa,Rio de Janeiro/RJ,./Mulheres Palestrantes_files/aee3962dd39be56420d63161bb0c859c
259,Nathalia Sautchuk Patrício,Sorocaba/SP,./Mulheres Palestrantes_files/ce31b72323ed84b80253f4340c98c9dd.png
260,Nessa Rodrigues,São Paulo/SP,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAqnAAAAJDllZGQzNWVhLWUyMTQtNDJlNS05NGMxLTNlMjlkNWM1OWQ2Yw.jpg
261,Olivia Janequine,Porto Alegre/RS,./Mulheres Palestrantes_files/371e87d45d7e34a1ed6f82a665714106.jpeg
262,Paola Tucunduva,Porto Alegre/RS,./Mulheres Palestrantes_files/placeholder-female.jpg
263,Patricia Almeida Ferreira,São Paulo/SP,./Mulheres Palestrantes_files/placeholder-female.jpg
264,Patricia Arruda,São Paulo/SP,./Mulheres Palestrantes_files/b909b45ac714b7e019b3e6c3c1623916
265,Patricia de Paula,União da Vitória/PR,./Mulheres Palestrantes_files/a125fea1abff71dd443b09ba3918c482
266,Patricia Kouzmine,São Paulo/SP,./Mulheres Palestrantes_files/AAIA_wDGAAAAAQAAAAAAAAy7AAAAJGUwNTQxMGJkLTJmMmYtNDliMy05NGFmLTM5MjA3NTFmY2I3OQ.jpg
267,Patricia Ramos de Quadros,Brasília/DF,./Mulheres Palestrantes_files/placeholder-female.jpg
268,Patrícia Ribeiro,São Paulo/SP,./Mulheres Palestrantes_files/placeholder-female.jpg
269,Patrícia Sant'Anna,Campinas/SP,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAdHAAAAJDE5NDQxMTQ0LWU0M2YtNDQzOC1iZTQ4LWY1N2UwZTE0ODhkYw.jpg
270,Paula Diniz,São Paulo/SP,./Mulheres Palestrantes_files/placeholder-female.jpg
271,Paula Faria,Belo Horizonte/MG,./Mulheres Palestrantes_files/ed70023e19882637aef103170e81f365.jpeg
272,Paula Grangeiro,Rio de Janeiro/RJ,./Mulheres Palestrantes_files/2524981
273,Paula Quintão,Manaus/AM,./Mulheres Palestrantes_files/placeholder-female.jpg
274,Paulinha Paz,Salvador/BA,./Mulheres Palestrantes_files/08df93d.jpg
275,Preta Emmeline,Natal/RN,./Mulheres Palestrantes_files/placeholder-female.jpg
276,Priscila Chagas,São Paulo/SP,./Mulheres Palestrantes_files/0ecd5129c8defe57116e45a8078c2a68.jpeg
277,Rafaela Marques,Rio de Janeiro/RJ,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAimAAAAJDNmY2FjMWI5LWViODktNDhhZi04N2Y3LTA2MjQxNDUzMDM5YQ.jpg
278,Rafaella Cavalca,Rio de Janeiro/RJ,./Mulheres Palestrantes_files/placeholder-female.jpg
279,Raissa dos Santos Ferreira,Rio de Janeiro/RJ,./Mulheres Palestrantes_files/68328f099165564e758f8bd7c0a7ae05.jpeg
280,Raissa Klain Belchior,São Paulo/SP,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAh_AAAAJDg3YTdhY2RhLWFlMTItNGJhYS04MmZjLWIzNzA0ZDZkODRmYw.jpg
281,Raquel Camargo,Belo Horizonte/MG,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAlqAAAAJGZmYzk4Y2JmLTU4OWEtNDhmMS04MmU3LTdjNjFmMzM5MjZjYg.jpg
282,Raquel de Oliveira Santos Lira,Recife/PE,./Mulheres Palestrantes_files/21d98c7ad075efd639ffbf0e50f9af35
283,Raquel Prado,Curitiba/PR,./Mulheres Palestrantes_files/cf9ab0b3894b990e19f4e85d6b62f34b.png
284,Raquel Preto,São Paulo/SP,./Mulheres Palestrantes_files/placeholder-female.jpg
285,Raquel Santachiara,Vila Velha/ES,./Mulheres Palestrantes_files/placeholder-female.jpg
286,Rayanny Nunes,Natal/RN,./Mulheres Palestrantes_files/placeholder-female.jpg
287,Reimy Solange Chagas,São Paulo/SP,./Mulheres Palestrantes_files/placeholder-female.jpg
288,Renata Machado Tárrio,São Paulo/SP,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAMUAAAAJDUxZWE0OGQ2LTk0N2MtNDIwOS04MzBlLWNjM2RkNzIzOGJlMA.jpg
289,Renata Masseroni,Porto Alegre/RS,./Mulheres Palestrantes_files/placeholder-female.jpg
290,Rebeca Bordini,Rio de Janeiro/RJ,./Mulheres Palestrantes_files/cb653395be591fe2387eddfb9319e4a3.jpeg
291,Rebeca Serpa,Osasco/SP,./Mulheres Palestrantes_files/acac3abd195659bf7d40086bae543427.jpeg
292,Rita Lino,Santos/SP,./Mulheres Palestrantes_files/placeholder-female.jpg
293,Robertta Mota,Fortaleza/CE,./Mulheres Palestrantes_files/placeholder-female.jpg
294,Ronaiza Cardoso,Brasilia/DF,./Mulheres Palestrantes_files/f45e8318bf829e33e34c1b8b10e2cb1d.jpeg
295,Rosália Cipriano Oliveira,São Paulo/SP,./Mulheres Palestrantes_files/AAMAAgDGAAwAAQAAAAAAAA8YAAAAJDg3YmI2ODkwLThlNjAtNGEyYy04MDUxLWJiODM1NTRkZTY3YQ.jpg
296,Rosi Rodrigues,São Paulo/SP,./Mulheres Palestrantes_files/placeholder-female.jpg
297,Rosicléia Frasson,Joinville/SC,./Mulheres Palestrantes_files/6be2f94c93c57c403c131e6c80b6c356.jpeg
298,Rute Faria,Belo Horizonte/MG,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAlyAAAAJDkzYzQ4MmMzLWNiYWItNDUzNC05YjA5LTU3ZGQ3OTRkMzYxMA.jpg
299,Samanta Cicilia,Rio de Janeiro/RJ,./Mulheres Palestrantes_files/d0e2beb1970140f2b36a8aa334c068a8.jpeg
300,Samantha Rosa,Porto Alegre/RS,./Mulheres Palestrantes_files/2932644
301,Samira Almeida,São Paulo/SP,https://storymax.me/images/samira_lowres.jpg
302,Sandy Maciel,Fortaleza/CE,./Mulheres Palestrantes_files/6650913
303,Silvana Bahia,Rio de Janeiro/RJ,./Mulheres Palestrantes_files/destaque_1502386742SilvanaBahia.jpg
304,Silvia Helena Rocha Campos,São Paulo/SP,./Mulheres Palestrantes_files/92cb9418155e8ae0de2214fafc908a43.jpeg
305,Silvia Valadares,São Paulo/SP,./Mulheres Palestrantes_files/placeholder-female.jpg
306,Simone Amorim,Recife/PE,./Mulheres Palestrantes_files/0d3d7d27f9da8e0f1d2b69c626c9b4cc.jpeg
307,Simone Pittner,Florianópolis/SC e São Paulo/SP,./Mulheres Palestrantes_files/9ac1f87ee020a87404cc22a3185966b1.jpeg
308,Soraia Lima,São Paulo/SP,./Mulheres Palestrantes_files/6z7rU3yQ_400x400.jpeg
309,Stella Dauer,São Bernardo do Campo/SP,./Mulheres Palestrantes_files/07bab57.jpg
310,Suzana Bueno,Campinas/SP,./Mulheres Palestrantes_files/AAEAAQAAAAAAAA29AAAAJDBiMjY0ZjkxLTBhMDUtNDg3NC04ZmNlLTU4MmQyNjRjZGJlYQ.jpg
311,Suzana Cohen,Belo Horizonte/MG,./Mulheres Palestrantes_files/placeholder-female.jpg
312,Tais Oliveira,Guarulhos/SP,./Mulheres Palestrantes_files/placeholder-female.jpg
313,Talita Lombardi,São Paulo/SP,./Mulheres Palestrantes_files/placeholder-female.jpg
314,Talita Pagani,São Paulo/SP,./Mulheres Palestrantes_files/7b6f40fb2885d5c45f5f676df4bab5fb.jpeg
315,Talita Rossari ,Florianópolis/SC,./Mulheres Palestrantes_files/dd46d758ae021e8f78c9cd8cefef0c27.jpeg
316,Tancicleide Gomes,Recife/PE,./Mulheres Palestrantes_files/2ce3c115479dbae97ee681b28ffc6725.jpeg
317,Tatiana Assali,São Paulo/SP,./Mulheres Palestrantes_files/3ed51c2d50a2549abbfd64875b4ff641
318,Tatiana Lourenço,Fortaleza/CE,./Mulheres Palestrantes_files/c5bccef3550aecfec2f68c38626c0860
319,Tatiana Pezoa,Campinas/SP,./Mulheres Palestrantes_files/placeholder-female.jpg
320,Tatiana Tosi,São Paulo/SP,./Mulheres Palestrantes_files/placeholder-female.jpg
321,Tatiana Vargas Maia,Porto Alegre/RS,./Mulheres Palestrantes_files/placeholder-female.jpg
322,Tatiane Conceição Vergueiro,São Paulo/SP,./Mulheres Palestrantes_files/placeholder-female.jpg
323,Tatti Maeda,São Paulo/SP,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAxBAAAAJDU3ODJiZjg5LTk1N2EtNGRmOS04YzNiLTg0ZGVjNWU1Njg3ZA.jpg
324,Tayra Vasconcelos,São Paulo/SP,./Mulheres Palestrantes_files/placeholder-female.jpg
325,Thais Gentile,Belém/PA,./Mulheres Palestrantes_files/placeholder-female.jpg
326,Thais Godinho,São Paulo/SP,./Mulheres Palestrantes_files/placeholder-female.jpg
327,Thais Moura de Freitas,Recife/PE,./Mulheres Palestrantes_files/placeholder-female.jpg
328,Thais Souza,Salvador/BA,./Mulheres Palestrantes_files/placeholder-female.jpg
329,Thaisa Mirely,Recife/PE,./Mulheres Palestrantes_files/54cf6dffa00e7d9f58f44da987cf53e6
330,Thaise Saeter,Porto Alegre/RS,./Mulheres Palestrantes_files/aef601b2a2eb44af917418e2ae9fa339
331,Thalita Nick Pinheiro,Belo Horizonte/MG,./Mulheres Palestrantes_files/e4103d70005e648a639d33a287a8dc0d.jpeg
332,Thaty Moura,São Paulo/SP,./Mulheres Palestrantes_files/placeholder-female.jpg
333,Uafa Smaili,São Paulo/SP,./Mulheres Palestrantes_files/placeholder-female.jpg
334,Valéria Barros,Goiânia/GO,./Mulheres Palestrantes_files/4bbf316b66f8a754e0f9cdf67254515d.jpeg
335,Vanessa Gonçalves Ferreira,Belo Horizonte/MG,./Mulheres Palestrantes_files/1ddbed5.jpg
336,Vanessa Kukul,Caxias do Sul/RS,./Mulheres Palestrantes_files/1b874de.jpg
337,Vanessa Me Tonini,São Paulo/SP,./Mulheres Palestrantes_files/2401246468e994e03713d5b83c16adaa.jpeg
338,Vanessa Queiroz,São Paulo/SP,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAuwAAAAJGFkZjQ4ODBhLWMwY2UtNDg1MC04MTI5LTk2NzI1ODkwYzkyYQ.jpg
339,Vanessa Rocha,São Paulo/SP,./Mulheres Palestrantes_files/placeholder-female.jpg
340,Vera Cristina de Moraes,Londrina/PR,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAGDAAAAJDhmOGRhMjExLWNkZGMtNDBhMy1hNmI4LWZjZjUwNTRlMWE4NQ.jpg
341,Vivian Vianna,São Paulo/SP,./Mulheres Palestrantes_files/AAEAAQAAAAAAAATqAAAAJGQ2ZDgyN2FkLThkYmItNDBiOC05YzI3LWU4Mzk0ZmQyNzZjZA.jpg
342,Viviane Vilella,São Paulo/SP,./Mulheres Palestrantes_files/placeholder-female.jpg
343,Yanne Moreira,Curitiba/PR,./Mulheres Palestrantes_files/e8922e930f20a9daa1e0a5169235ba4e.jpeg
344,Yasodara Córdova,São Paulo/SP,./Mulheres Palestrantes_files/7e089e6db99186280cfe1bbd1a80117c.png
