titulo,link
"'Após incêndio, BNDES anuncia R$ 25 milhões para obras de museus'",'https://oglobo.globo.com/rio/apos-criticas-sobre-falta-de-repasses-federais-bndes-vai-lancar-edital-de-25-mi-para-apoio-museus-23037830'
'Crânio é achado nos escombros do Museu no RJ (Carl de Souza/AFP)','https://g1.globo.com/rj/rio-de-janeiro/noticia/2018/09/04/bombeiros-encontram-cranio-em-meio-aos-escombros-do-museu-nacional1.ghtml'
'Besouros achados em varanda são do museu ','https://extra.globo.com/noticias/rio/besouros-encontrados-na-tijuca-sao-do-acervo-do-museu-nacional-diz-pesquisadora-23037396.html'
'Equipes agem no Museu em meio a desabamentos (Fernanda Rouvenat / G1)','https://g1.globo.com/rj/rio-de-janeiro/noticia/2018/09/04/equipes-trabalham-para-salvar-pecas-do-acervo-do-museu-nacional-desabamentos-ainda-ocorrem-na-area-interna.ghtml'
'Prédio do Museu não tem seguro e brigada','https://g1.globo.com/rj/rio-de-janeiro/noticia/2018/09/04/predio-do-museu-nacional-nao-tem-seguro-e-brigada-de-incendio.ghtml'
'Veja o que é fato e fake na fala de Geraldo Alckmin (Marcelo Brandt/G1)','https://g1.globo.com/fato-ou-fake/noticia/2018/09/04/veja-o-que-e-fato-ou-fake-na-entrevista-de-geraldo-alckmin-ao-g1-e-a-cbn.ghtml'
'Veja como foi entrevista de Alckmin a G1 e CBN','https://g1.globo.com/politica/eleicoes/2018/noticia/2018/09/04/alckmin-propoe-reduzir-ir-para-empresas-e-diz-que-nao-fara-campanha-com-aecio.ghtml'
'MP-SP denuncia Haddad por corrupção ','https://g1.globo.com/sp/sao-paulo/noticia/2018/09/04/mp-denuncia-haddad-por-corrupcao-e-lavagem-de-dinheiro-em-suposto-pagamento-de-divida-de-campanha.ghtml'
'Fachin autoriza abrir 3 inquéritos contra Marun ','https://g1.globo.com/politica/noticia/2018/09/04/fachin-autoriza-abertura-de-3-inqueritos-para-investigar-marun-e-7-parlamentares-na-registro-espurio.ghtml'
'Leilão da casa de R$ 8 mi de Cabral fica sem lances','https://oglobo.globo.com/brasil/primeiro-leilao-da-mansao-de-cabral-em-mangaratiba-termina-sem-lances-23038413'
'Dinamarca convoca jogadores da 3ª e 4ª divisões após boicote (Richard Heathcote / Staff)','https://globoesporte.globo.com/futebol/futebol-internacional/noticia/dinamarca-convoca-apenas-jogadores-de-terceira-e-quarta-divisoes-para-amistoso.ghtml'
'Palmeiras tentará eliminar 'agressão' de Felipe Melo na defesa (Renato Pizzutto/BP Filmes)','https://globoesporte.globo.com/futebol/times/palmeiras/noticia/a-espera-de-punicao-palmeiras-tentara-desqualificar-agressao-de-felipe-melo.ghtml'
'Fla não terá Réver contra o Inter para não pagar R$1 milhão (Amanda Kestelman/GloboEsporte.com)','https://extra.globo.com/esporte/flamengo/rever-mais-um-desfalque-do-flamengo-para-jogo-contra-internacional-23038124.html'
''Sol': novo dono da mansão surpreende (TV Globo)','https://gshow.globo.com/novelas/segundo-sol/vem-por-ai/noticia/roberval-compra-a-mansao-de-severo-e-humilha-a-familia-athayde.ghtml'
'Teste seu 'humor' de Rosa','http://especiaiss3.gshow.globo.com/gshow/tv/rapidinhas/pb/este-teste-vai-te-dizer-qual-humor-da-rosa-de-segundo-sol-te-representa.html'
'Xavier batiza vinho de Susana em 'Orgulho' (divulgação)','https://gshow.globo.com/novelas/orgulho-e-paixao/vem-por-ai/noticia/xavier-batiza-a-bebida-de-susana.ghtml'
'Veja bastidores da reta final','https://kogut.oglobo.globo.com/noticias-da-tv/novelas/fotos/2018/09/orgulho-e-paixao-darcy-vai-inaugurar-ferrovia-veja-bastidores-da-reta-final-da-novela.html'
''Tempo': Marocas põe Betina só de toalha para fora de prédio (TV Globo)','https://gshow.globo.com/novelas/o-tempo-nao-para/vem-por-ai/noticia/marocas-expulsa-betina-so-de-toalha-da-casa-de-samuca.ghtml'
"'Aos 40, apresentadora posta que irá morrer em alguns dias (BBC)'",'https://g1.globo.com/mundo/noticia/2018/09/04/apresentadora-da-bbc-anuncia-nas-redes-sociais-que-tem-poucos-dias-de-vida-apos-luta-contra-o-cancer.ghtml'
'Mulher que ostentava na web após roubar bancos pega 5 anos (Reprodução / Facebook)','https://g1.globo.com/mt/mato-grosso/noticia/2018/09/04/juiz-condena-jovem-que-ostentava-na-web-e-que-recebia-bolsa-familia-a-5-anos-de-prisao-por-assaltos-a-bancos.ghtml'
"'Morto aos 33 anos na Inglaterra, rapper deixa oito filhos (Instagram)'",'https://revistamonet.globo.com/Celebridades/noticia/2018/09/rapper-e-assassinado-na-inglaterra-e-deixa-oito-filhos.html'
"'Bebê morre em hospital no interior de SP após ser agredido pelo pai, diz a polícia (Reprodução)'",'https://g1.globo.com/sp/mogi-das-cruzes-suzano/noticia/2018/09/04/bebe-morre-em-hospital-em-itaquaquecetuba-depois-de-ser-agredido-pelo-pai-diz-policia.ghtml'
'Navio bate até em ponte em tufão com mortos no Japão (Jiji Press/AFP)','https://g1.globo.com/mundo/noticia/2018/09/04/tufao-jebi-fecha-aeroporto-e-faz-petroleiro-colidir-com-ponte-no-japao.ghtml'
'iPhone 7 Plus e outros smarts famosos estão mais baratos no Brasil (Carol Ochsendorf/TechTudo)','https://www.techtudo.com.br/listas/2018/09/iphone-7-plus-e-outros-celulares-em-promocao-no-compare-techtudo.ghtml'
"'Em três meses, caçadores matam 90 elefantes com mais de 35 anos na África (Reprodução/Facebook)'",'https://g1.globo.com/natureza/noticia/2018/09/04/cacadores-mataram-ao-menos-90-elefantes-em-botsuana-diz-ong.ghtml'
'Família doa órgãos de adolescente morta após cair de brinquedo (Reprodução/Arquivo pessoal)','https://g1.globo.com/go/goias/noticia/2018/09/04/orgaos-de-adolescente-que-morreu-apos-ser-arremessada-de-brinquedo-em-ceres-devem-ser-doados-para-pacientes-no-df-e-em-sp.ghtml'
'Morre aos 21 youtuber que compartilhou luta contra a fibrose cística (Reprodução/Youtuber)','https://g1.globo.com/pop-arte/noticia/2018/09/04/claire-wineland-youtuber-que-sofria-com-fibrose-cistica-e-compartilhava-sua-rotina-nas-redes-sociais-morre-aos-21-anos.ghtml'
'mais notícias','https://g1.globo.com/'
"''Famoso', menino do 'bilete' vê jogo em camarote de estádio (Arquivo pessoal)'",'https://g1.globo.com/sp/bauru-marilia/noticia/2018/09/04/apos-ficar-famoso-na-web-menino-do-bilete-ganha-viagem-de-taxista-e-conhece-estadio-do-sao-paulo.ghtml'
'CR7 ganha mais de 3 vezes que o segundo maior salário na Itália (Reuters)','https://extra.globo.com/esporte/cristiano-ronaldo-tem-disparado-melhor-salario-do-campeonato-italiano-veja-ranking-23037817.html'
'Vinicius Jr. está entre os 31 inscritos do Real para Champions; lista (Infoesporte)','https://extra.globo.com/esporte/real-madrid-inclui-vinicius-junior-entre-os-31-inscritos-na-liga-dos-campeoes-confira-23037630.html'
'Zico não perdoa e diz que Diego Alves falhou contra Ceará: 'Houve falha e pronto. Assume'','https://extra.globo.com/esporte/flamengo/afiado-zico-critica-ataque-goleiro-do-flamengo-houve-falha-pronto-23037254.html'
"'Perto do fim do prazo, Santos não procurou Dodô para renovar (Arthur Faria)'",'https://globoesporte.globo.com/sp/santos-e-regiao/futebol/times/santos/noticia/perto-do-fim-de-emprestimo-dodo-diz-que-nao-foi-procurado-pelo-santos-para-renovar.ghtml'
"'Aos 20 anos, técnico de sub-17 está há 51 jogos invicto no RJ (Rodrigo Henrique/RH Assessoria)'",'https://globoesporte.globo.com/rj/serra-lagos-norte/futebol/noticia/tecnico-de-20-anos-esta-invicto-no-comando-de-equipe-sub-17-apos-51-jogos.ghtml'
'Sinal amarelo: Vasco e Botafogo têm riscos de rebaixamento à Série B maiores que 20%','https://extra.globo.com/esporte/vasco-botafogo-tem-riscos-de-rebaixamento-para-serie-maiores-que-20-23036257.html'
'Zidane curte dia em iate com a mulher e 2 de seus 4 filhos; fotos (Backgrid)','https://revistaquem.globo.com/QUEM-News/noticia/2018/09/zidane-mostra-fisico-enxuto-em-point-do-verao-europeu.html'
"'Com Brady na lista, veja o quinteto de quarentões da NFL (Adam Glanzman/AFC)'",'https://globoesporte.globo.com/futebol-americano/noticia/com-tom-brady-na-lista-confira-o-quinteto-de-quarentoes-desta-temporada-da-nfl.ghtml'
'mais esportes','https://globoesporte.globo.com/'
'Mari Palma abre as portas de apê de 68 m² com jeito de loft; fotos (Divulgação)','https://revistacasaejardim.globo.com/Casa-e-Jardim/Decoracao/noticia/2018/09/mari-palma-abre-portas-de-seu-apartamento-em-sao-paulo.html'
'Kourtney curte praia com sobrinho e biquíni cavado chama atenção (AKM-GSI)','https://revistaglamour.globo.com/Celebridades/noticia/2018/09/kourtney-kardashian-arrasa-com-biquini-jeans.html'
'Top plus size Stefania Ferrario posa com maiô decotado (Reprodução/Instagram)','https://vogue.globo.com/moda/gente/noticia/2018/09/stefania-ferrario-ousa-com-maio-cheio-de-recortes-e-ultradecotado.html'
"'Após Zilu dizer que todo homem é infiel, filho rebate em textão: 'Sou fiel há 10 anos' (Reprodução/YouTube)'",'https://revistaquem.globo.com/QUEM-News/noticia/2018/09/cacula-responde-apos-zilu-dizer-que-todo-homem-e-infiel-discordo-100.html'
'Juliana Caldas fala sobre sexo: 'Não deixo o nanismo me definir' (Pino Gomes/ Divulgação)','https://revistaquem.globo.com/QUEM-News/noticia/2018/09/juliana-caldas-sobre-sexo-nunca-deixo-o-nanismo-me-definir.html'
'Ex-'BBB' é indicada ao 'Oscar do pornô' com filmes para mulheres (Celso Tavares/G1)','https://g1.globo.com/pop-arte/cinema/noticia/2018/09/04/may-medeiros-ex-bbb-e-diretora-de-filmes-pornos-comemora-indicacao-pioneira-ao-premio-sexy-hot-inesperada.ghtml'
''Música Boa Ao Vivo' com Iza traz volta de Bruno ao Sorriso Maroto; bastidores AO VIVO','http://multishow.globo.com/programas/musica-boa-ao-vivo/materias/hoje-tem-musica-boa-ao-vivo-com-iza-nego-do-borel-harmonia-do-samba-e-volta-de-bruno-ao-sorriso-maroto.htm'
'Ferrão exibe correria diária na ponte aérea para ensaiar 'Dança' (Gshow)','https://gshow.globo.com/programas/domingao-do-faustao/danca-dos-famosos/2018/noticia/mariana-ferrao-mostra-correria-entre-sao-paulo-e-rio-de-janeiro-para-ensaios-do-danca-dos-famosos.ghtml'
''Garota de Ipanema' Helô Pinheiro 'elege' neta mais velha musa (Reprodução)','https://oglobo.globo.com/ela/gente/2018/09/04/728659-helo-pinheiro-diz-que-neta-de-21-anos-nova-garota-de-ipanema'
'mais variedades','https://gshow.globo.com/'
'WhatsApp muda e libera funções; veja os destaques (Anna Kellen Bull/TechTudo)','https://www.techtudo.com.br/noticias/2018/09/backup-ilimitado-no-android-confira-destaques-do-whatsapp-em-agosto.ghtml'
'Teste: Motorola mais barato com visual de iPhone X  (Anna Kellen Bull/TechTudo)','https://www.techtudo.com.br/noticias/2018/09/testamos-o-motorola-one-com-android-puro-e-visual-de-iphone-x-ifa2018.ghtml'
'Chrome muda de visual e libera novas funções; veja (Divulgação/Google)','https://www.techtudo.com.br/noticias/2018/09/chrome-faz-10-anos-com-novo-visual-e-dino-comemorativo.ghtml'
'Fogão smart 'nunca' deixa sua comida queimar; confira (Anna Kellen Bull/TechTudo)','https://www.techtudo.com.br/noticias/2018/09/cozinha-smart-bosch-apresenta-panela-lavadora-e-geladeira-inteligentes-ifa2018.ghtml'
''Os Jovens Titãs em Ação!' promete entreter a família (Divulgação)','https://g1.globo.com/pop-arte/cinema/noticia/2018/09/04/os-jovens-titas-em-acao-vai-da-tv-aos-cinemas-com-formula-que-tenta-entreter-criancas-e-pais.ghtml'
'Alice Braga e Gabriel Leone serão 'Eduardo e Mônica' (Divulgação)','https://oglobo.globo.com/cultura/filmes/filme-de-eduardo-monica-mostra-relacao-conflituosa-monica-livre-23032710'
"'Diretora mulher facilita filmar cenas de sexo, diz atriz (Getty Images)'",'https://revistamonet.globo.com/Filmes/noticia/2018/09/chloe-grace-moretz-diz-que-trabalhar-com-diretora-facilita-filmagem-de-cenas-de-sexo.html'
'Ideias de móveis planejados para pequenos apartamentos (Mariana Orsi)','https://casavogue.globo.com/Interiores/Ambientes/noticia/2018/07/23-ideias-de-moveis-planejados-para-apartamentos-pequenos.html'
'Casa propõe 'mindfulness' com espaços vazios (Andrew Power/Divulgação)','https://casavogue.globo.com/Arquitetura/Casas/noticia/2018/09/casa-propoe-mindfulness-na-arquitetura-com-espacos-vazios.html'
'Peças antigas ganham novas e charmosas funções  (Cacá Bratke / Editora Globo)','https://revistacasaejardim.globo.com/Casa-e-Jardim/Decoracao/noticia/2018/09/retro-repaginado-pecas-antigas-ganham-novas-funcoes-surpreendentes.html'
'Rafael Zulu ou Rafael Cortez: quem deve ficar na disputa? (Cristiane Ferreira/Globo)','https://gshow.globo.com/programas/mais-voce/votacao/quem-voce-quer-que-fique-no-super-chef-6a4240ce-4b21-4c72-8733-367419df8d13.ghtml'
"'Maria Alice humilha Rei: 'Eu não te odeio, eu te desprezo' (TV Globo)'",'https://gshow.globo.com/novelas/malhacao/2018/vem-por-ai/noticia/maria-alice-humilha-rei-eu-nao-te-odeio-eu-te-desprezo.ghtml'
"'Repórteres relatam censura, idioma e trabalho perdido'",'https://gshow.globo.com/programas/conversa-com-bial/noticia/sonia-bridi-relembra-censura-na-china-vale-a-pena-fazer-uma-materia-e-colocar-a-vida-de-alguem-em-risco.ghtml'
'Dani Calabresa tieta Sandy nos bastidores do Faustão (Reprodução)','https://gshow.globo.com/programas/domingao-do-faustao/noticia/dani-calabresa-entrevista-sandy-e-tieta-a-cantora-nos-bastidores-do-domingao.ghtml'
